name,liq_temp,liq_energy,density,gas_temp,gas_energy,heat_of_vap
mol11,298.08816357244825,0.08528646188330166,0.8174872062884468,297.8886158789334,10.82232783241892,11.336858154017813
mol07,298.23088338110347,-4.887274338784874,0.8473199617851661,297.10520228844,4.340053095530369,9.87306796503854
mol15,298.13958193346235,-59.85785135307576,0.8341572314627879,298.92406135783517,-50.09716935367475,10.329403175454884
mol01,298.0850026261931,6.050602625291553,0.8398476706236946,299.11196023414374,13.186921540455424,7.716171819746373
mol14,298.30343505197715,-67.93454916344645,0.8469537046554383,296.86322213422096,-60.21620437064089,8.344755206573536
mol04,298.2472479681431,14.760354167462271,0.695993549684045,299.12387706227355,20.25645119396268,6.054239282244766
mol10,298.16584837633485,-19.134319412656104,1.0246168808626994,298.6599441057409,-7.185501410332054,12.523245534295324
mol06,298.1970738225799,1.6260616684197737,0.8509171927281468,298.3464344852792,9.860624994705102,8.820868769311256
mol02,298.33926156344984,-27.155887348360803,0.756628227553988,298.8385685184117,-19.81555921694061,7.92646813336048
mol05,298.1649528613681,-3.799833397217424,0.7058431112242629,298.61197862161384,2.061822731225942,6.436434606284114
mol12,298.1789483619606,-1.9829001047372778,0.6085760764712681,299.22446191731154,3.2402414465269667,5.768515036365124
mol08,298.2106491189093,12.333239428279729,0.9394059934085456,297.20554149236534,22.701058959413896,10.989849217068647
mol13,298.1909330235425,13.850689154627375,0.6709537446736611,298.4332688326157,18.231979771964177,4.969770624731682
mol03,298.1592898254151,7.430688781979796,0.7278519069527862,299.7716053645123,13.827499400817185,6.9360692864544955
mol09,298.0951613754198,2.4497160410395407,0.9701427042303068,298.97037157460005,8.529974757428379,6.654098460469452
