name,charge,multiplicity,config_file,smiles,torsion_order,restart,end
mol02,,,015.ini,C(CO)O,,,
mol03,,,015.ini,C1CCOC1,,,
mol04,,,015.ini,CN(C)C=O,,,
mol05,,,015.ini,C1CCCCC1,,,
mol07,,,015.ini,C(=O)N,,,
mol08,,,015.ini,C1COCO1,,,
mol09,,,015.ini,CC(=O)OC(=O)C,,,
mol10,,,015.ini,NCCO,,,
mol11,,,015.ini,CCC(=O)CC,,,
mol12,,,015.ini,CCCCCC,,,
mol13,,,015.ini,C(CO)CO,,,
mol14,,,015.ini,C=CC=O,,,
mol15,,,015.ini,CC1=CC=CC=C1C,,,
mol16,,,015.ini,CCC(CC)O,,,
mol17,,,015.ini,c1ccccc1,,,
mol18,,,015.ini,CCCCCCC,,,
mol21,,,015.ini,CCCCNCCCC,,,
mol22,,,015.ini,C1CCNCC1,,,
mol23,,,015.ini,OCCCCCO,,,
mol24,,,015.ini,CN(C)CCCN,,,
mol25,,,015.ini,CCn1ccnc1,,,
mol26,,,015.ini,CN=C=O,,,
mol27,,,015.ini,CN(C)CCCN(C)C,,,
mol28,,,015.ini,N#Cc1ccco1,,,
mol29,,,015.ini,O=Cc1ccoc1,,,
mol30,,,015.ini,CN1CCN(C)CC1,,,
mol31,,,015.ini,CC(=O)c1ccco1,,,
mol32,,,015.ini,c1cn2ccnc2cn1,,,
mol33,,,015.ini,CCCCn1ccnc1,,,
mol34,,,015.ini,CC(=O)CCC=C(C)C,,,
mol35,,,015.ini,c1ccc2ccccc2c1,,,
mol36,,,015.ini,c1ccc2nccnc2c1,,,
mol37,,,015.ini,CC(C)(C)c1ccncc1,,,
mol39,,,015.ini,Cc1ccc2c(c1)OCO2,,,
mol41,,,015.ini,CCCCC(=O)CCCC,,,
mol42,,,015.ini,OCCCCO,,,
mol43,,,015.ini,OCC(O)CO,,,
mol44,,,015.ini,NCCNCCNCCN,,,
mol45,,,015.ini,CNCCCN,,,
mol46,,,015.ini,CC(=O)c1ccc(C)cc1,,,
mol47,,,015.ini,CC(C)(O)CCC(C)(C)O,,,
mol48,,,015.ini,OCC#CCO,,,
mol49,,,015.ini,Cc1cccnn1,,,
mol50,,,015.ini,Cc1ccc(C)n1C,,,
mol51,,,015.ini,CCN(CC)CCCN,,,
mol53,,,015.ini,O=C1CCc2ccccc2C1,,,
