name,liq_temp,liq_energy,density,gas_temp,gas_energy,heat_of_vap
mol01,298.28204571764996,5.838366688490295,0.7803008401606353,295.2126867030082,15.950810602244635,9.141105516418935
mol02,298.1345321820798,-32.513839060317174,0.7795832374298625,293.73080708381855,-24.60755042683326,7.850849561641847
mol03,298.22081376753135,6.1930995354803935,0.7268776256949483,297.88368634649794,14.775322433183572,9.085358921369223
mol04,298.1914089799681,17.268972464225595,0.7208332784205422,298.5534775568255,22.390934266962013,6.700030214476776
mol05,298.12646658609304,-9.756155102292091,0.7473135363673739,297.71388000037206,-3.5840848318477434,6.7801369022083575
mol06,298.2012641939607,-2.1197623359108024,0.8873661427142329,299.5119249305588,5.9359744682366715,10.597071353267072
mol07,298.10244757399033,-14.71129442934784,0.875675160050515,299.61972567137036,-6.020085016354548,10.210983707182375
mol08,298.2218438650652,14.562944013124996,0.9483331408971329,296.9156615383339,24.986736669595107,11.05479080449841
mol09,298.21219859763374,4.307046301597299,0.9703896556922499,295.66909357912,10.46359336057083,6.801664533480769
mol10,298.1050372902617,-41.325685779239315,1.0601855008777044,298.7331468102194,-28.259597032977336,13.635725848749022
mol11,298.264032365848,-4.951650586243477,0.8400594830389524,298.65759854121507,8.52994711620174,12.058446381927977
mol12,298.19614753894007,-5.261523529484877,0.6403280840158356,297.9078661458326,-0.6258040651337138,7.240689900451581
mol13,297.96230014725785,15.572400170838394,0.65381052235226,296.1442922523619,23.10064820896827,6.147414972054598
mol14,298.3186044698909,-87.42753991178594,0.7783400627185408,298.3791264910032,-81.0626048859401,7.65558213063106
mol15,298.17700840933276,-80.21919832758229,0.8281128085944963,299.1297434663676,-68.72369504020502,12.659212437303874
