name,charge,multiplicity,config_file,smiles,torsion_order,restart,end
mol02,,,007.ini,C(CO)O,,,
mol03,,,007.ini,C1CCOC1,,,
mol04,,,007.ini,CN(C)C=O,,,
mol05,,,007.ini,C1CCCCC1,,,
mol07,,,007.ini,C(=O)N,,,
mol08,,,007.ini,C1COCO1,,,
mol09,,,007.ini,CC(=O)OC(=O)C,,,
mol10,,,007.ini,NCCO,,,
mol11,,,007.ini,CCC(=O)CC,,,
mol12,,,007.ini,CCCCCC,,,
mol13,,,007.ini,C(CO)CO,,,
mol14,,,007.ini,C=CC=O,,,
mol15,,,007.ini,CC1=CC=CC=C1C,,,
mol16,,,007.ini,CCC(CC)O,,,
mol17,,,007.ini,c1ccccc1,,,
mol18,,,007.ini,CCCCCCC,,,
mol21,,,007.ini,CCCCNCCCC,,,
mol22,,,007.ini,C1CCNCC1,,,
mol23,,,007.ini,OCCCCCO,,,
mol24,,,007.ini,CN(C)CCCN,,,
mol25,,,007.ini,CCn1ccnc1,,,
mol26,,,007.ini,CN=C=O,,,
mol27,,,007.ini,CN(C)CCCN(C)C,,,
mol28,,,007.ini,N#Cc1ccco1,,,
mol29,,,007.ini,O=Cc1ccoc1,,,
mol30,,,007.ini,CN1CCN(C)CC1,,,
mol31,,,007.ini,CC(=O)c1ccco1,,,
mol32,,,007.ini,c1cn2ccnc2cn1,,,
mol33,,,007.ini,CCCCn1ccnc1,,,
mol34,,,007.ini,CC(=O)CCC=C(C)C,,,
mol35,,,007.ini,c1ccc2ccccc2c1,,,
mol36,,,007.ini,c1ccc2nccnc2c1,,,
mol37,,,007.ini,CC(C)(C)c1ccncc1,,,
mol39,,,007.ini,Cc1ccc2c(c1)OCO2,,,
mol41,,,007.ini,CCCCC(=O)CCCC,,,
mol42,,,007.ini,OCCCCO,,,
mol43,,,007.ini,OCC(O)CO,,,
mol44,,,007.ini,NCCNCCNCCN,,,
mol45,,,007.ini,CNCCCN,,,
mol46,,,007.ini,CC(=O)c1ccc(C)cc1,,,
mol47,,,007.ini,CC(C)(O)CCC(C)(C)O,,,
mol48,,,007.ini,OCC#CCO,,,
mol49,,,007.ini,Cc1cccnn1,,,
mol50,,,007.ini,Cc1ccc(C)n1C,,,
mol51,,,007.ini,CCN(CC)CCCN,,,
mol53,,,007.ini,O=C1CCc2ccccc2C1,,,
